Date - 08-LIP-2021
Instrument Serial Number - 7200151242
Software Name - Ki67 Proliferation
Version Number - 1.8

,,,,,,,,,,,,,,Dotplot Cursor Position,,,,,,,,,,,,,,,,,,,,
 10, Sample_010, 5000, 100.00, 1082.32, 1.08E+006, 80.52, 19.48, 2.35, 45.33, 2.31, 46.86, 62.04, 103.87, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 7.8, 26-TRA-2021, 19:34:04, 26-TRA-2021, 19:34:04, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 11, Sample_011, 5000, 100.00, 1008.40, 1.01E+006, 78.10, 21.90, 2.42, 44.86, 2.40, 42.92, 62.38, 106.32, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 8.4, 26-TRA-2021, 19:34:37, 26-TRA-2021, 19:34:37, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 12, Sample_012, 5000, 100.00, 1944.60, 1.94E+006, 88.66, 11.34, 2.08, 45.28, 2.08, 42.83, 56.59, 97.60, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 4.4, 26-TRA-2021, 19:35:07, 26-TRA-2021, 19:35:07, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 13, Sample_013, 5000, 100.00, 2246.11, 2.25E+006, 96.46, 3.54, 2.34, 31.07, 2.35, 24.55, 48.92, 150.99, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 3.8, 26-TRA-2021, 19:36:06, 26-TRA-2021, 19:36:06, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 14, Sample_014, 5000, 100.00, 2266.54, 2.27E+006, 96.44, 3.56, 2.34, 31.09, 2.37, 24.20, 49.69, 154.68, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 3.7, 26-TRA-2021, 19:36:37, 26-TRA-2021, 19:36:37, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 15, Sample_015, 5000, 100.00, 2034.22, 2.03E+006, 96.98, 3.02, 2.43, 32.79, 2.47, 25.92, 48.22, 165.15, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 4.2, 26-TRA-2021, 19:37:08, 26-TRA-2021, 19:37:08, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 16, Sample_016, 5000, 100.00, 2330.74, 2.33E+006, 87.42, 12.58, 2.72, 26.49, 2.65, 20.28, 59.08, 177.51, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 3.6, 26-TRA-2021, 19:38:09, 26-TRA-2021, 19:38:09, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 17, Sample_017, 5000, 100.00, 1660.70, 1.66E+006, 85.38, 14.62, 2.74, 26.94, 2.69, 21.67, 57.99, 149.96, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 5.1, 26-TRA-2021, 19:38:41, 26-TRA-2021, 19:38:41, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 18, Sample_018, 5000, 100.00, 2042.07, 2.04E+006, 86.56, 13.44, 2.76, 28.71, 2.70, 21.85, 57.54, 140.26, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 4.2, 26-TRA-2021, 19:39:11, 26-TRA-2021, 19:39:11, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 19, Sample_019, 5000, 100.00, 1877.40, 1.88E+006, 95.26, 4.74, 2.45, 31.68, 2.47, 26.46, 52.74, 137.01, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 4.5, 26-TRA-2021, 19:40:23, 26-TRA-2021, 19:40:23, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 20, Sample_020, 5000, 100.00, 2005.82, 2.01E+006, 96.10, 3.90, 2.41, 29.11, 2.42, 23.70, 51.56, 108.62, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 4.2, 26-TRA-2021, 19:40:57, 26-TRA-2021, 19:40:57, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 21, Sample_021, 5000, 100.00, 2128.76, 2.13E+006, 96.08, 3.92, 2.49, 27.65, 2.50, 22.97, 50.69, 116.22, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 4.0, 26-TRA-2021, 19:43:07, 26-TRA-2021, 19:43:07, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 22, Sample_022, 5000, 100.00, 1822.49, 1.82E+006, 97.80, 2.20, 2.31, 28.51, 2.39, 22.30, 42.11, 197.94, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 4.7, 26-TRA-2021, 19:44:16, 26-TRA-2021, 19:44:16, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 23, Sample_023, 5000, 100.00, 1641.09, 1.64E+006, 98.20, 1.80, 2.36, 24.76, 2.43, 20.80, 41.27, 213.63, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 5.2, 26-TRA-2021, 19:44:47, 26-TRA-2021, 19:44:47, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 24, Sample_024, 5000, 100.00, 2319.26, 2.32E+006, 98.70, 1.30, 2.21, 28.19, 2.26, 21.64, 43.16, 275.39, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 3.7, 26-TRA-2021, 19:45:14, 26-TRA-2021, 19:45:14, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 25, Sample_025, 5000, 100.00, 1543.08, 1.54E+006, 96.04, 3.96, 2.46, 25.75, 2.49, 19.38, 45.01, 157.62, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 5.5, 26-TRA-2021, 19:46:09, 26-TRA-2021, 19:46:09, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 26, Sample_026, 5000, 100.00, 2179.68, 2.18E+006, 96.76, 3.24, 2.36, 26.09, 2.41, 20.88, 46.31, 166.42, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 3.9, 26-TRA-2021, 19:46:37, 26-TRA-2021, 19:46:37, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 27, Sample_027, 5000, 100.00, 1951.32, 1.95E+006, 96.58, 3.42, 2.31, 28.41, 2.35, 22.16, 47.06, 235.40, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 4.3, 26-TRA-2021, 19:47:06, 26-TRA-2021, 19:47:06, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 28, Sample_028, 5000, 100.00, 1828.78, 1.83E+006, 97.94, 2.06, 2.29, 24.44, 2.35, 17.61, 44.51, 137.38, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 4.6, 26-TRA-2021, 19:48:08, 26-TRA-2021, 19:48:08, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 29, Sample_029, 5000, 100.00, 1893.34, 1.89E+006, 98.50, 1.50, 2.34, 25.77, 2.44, 18.81, 40.53, 254.70, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 4.5, 26-TRA-2021, 19:48:36, 26-TRA-2021, 19:48:36, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
 30, Sample_030, 5000, 100.00, 2189.25, 2.19E+006, 98.08, 1.92, 2.30, 28.42, 2.38, 22.51, 40.85, 158.41, 1.00, 1.00, 10000.00, 10000.00, 1.00, 10.94, 10.94, 10000.00, 3.9, 26-TRA-2021, 19:49:05, 26-TRA-2021, 19:49:05, 1.0, 47.3, 22.6, 1, 0.59, LNR, LNR, 
